Name,Season,Voting Points,Winner,ActualVoteShare,Temperature,PredVoteShare_mean,PredVoteShare_p05,PredVoteShare_p95,P_rank1,P_rank<=3,P_rank<=5
Ousmane Dembele,2024-2025,1380,1,0.2113970588235294,0.08,0.07647254676426946,0.04788577979206706,0.11631811723332529,0.5675,0.895,0.9725
Desire Doue,2024-2025,74,0,0.0113357843137254,0.08,0.056889791367887924,0.032373706176727926,0.08730667070015033,0.1225,0.4875,0.65875
Lamine Yamal,2024-2025,1059,0,0.1622242647058823,0.08,0.051815779930979675,0.02253123045401894,0.09099813068298208,0.1825,0.425,0.5275
Khvicha Kvaratskhelia,2024-2025,123,0,0.0188419117647058,0.08,0.05054574187429593,0.02974607086228975,0.08193647776062955,0.02125,0.3325,0.48875
Fabian Ruiz Pena,2024-2025,20,0,0.003063725490196,0.08,0.04892083440784947,0.03252162617264218,0.06983792988094963,0.00125,0.1975,0.505
Harry Kane,2024-2025,112,0,0.017156862745098,0.08,0.04749560890269883,0.032051571331801684,0.06474773895574512,0.08125,0.26,0.49375
Achraf Hakimi,2024-2025,484,0,0.0741421568627451,0.08,0.04187945219473919,0.024656849957156918,0.06536816402719238,0.0,0.08625,0.2875
Michael Olise,2024-2025,4,0,0.0006127450980392,0.08,0.04118373672991648,0.028878951399758473,0.05433640227231819,0.00125,0.0825,0.235
Vitinha,2024-2025,703,0,0.1076899509803921,0.08,0.04059438248421444,0.02769573173465359,0.056737652278113455,0.0025,0.0375,0.1775
Mohamed Salah,2024-2025,657,0,0.1006433823529411,0.08,0.03703366181012271,0.02704281735558537,0.04973422045157726,0.0,0.01125,0.0825
Pedri,2024-2025,124,0,0.0189950980392156,0.08,0.03684738037978844,0.021604857797412415,0.056241002807719764,0.0025,0.04125,0.165
Robert Lewandowski,2024-2025,49,0,0.0075061274509803,0.08,0.0368418028263341,0.01923937377660868,0.06085818947533166,0.015,0.10125,0.2
Joao Neves,2024-2025,40,0,0.0061274509803921,0.08,0.03519826115054046,0.026091252399612196,0.046390987674696675,0.0,0.00125,0.025
Raphinha,2024-2025,620,0,0.0949754901960784,0.08,0.03475239354175683,0.025421189026975172,0.04728258269768514,0.0,0.00375,0.02875
Nuno Mendes,2024-2025,171,0,0.0261948529411764,0.08,0.03174987634321528,0.022901369088884446,0.04168915404686471,0.0,0.0,0.00375
Scott McTominay,2024-2025,45,0,0.0068933823529411,0.08,0.029704220930659952,0.016986930779889737,0.04368677112747686,0.0,0.01125,0.03125
Cole Palmer,2024-2025,211,0,0.0323223039215686,0.08,0.029415109220328573,0.020551263005200875,0.039898299686267874,0.0,0.0,0.00125
Kylian Mbappe,2024-2025,378,0,0.0579044117647058,0.08,0.029280235218293968,0.0199264943788233,0.04058897427320997,0.0,0.00125,0.01125
Florian Wirtz,2024-2025,5,0,0.000765931372549,0.08,0.028703749883690885,0.014972461366537161,0.04709369416934895,0.0,0.00875,0.05625
Jude Bellingham,2024-2025,21,0,0.0032169117647058,0.08,0.02811294639744694,0.0144284798531984,0.044717797820992854,0.0,0.0125,0.0325
Viktor Gyokeres,2024-2025,56,0,0.008578431372549,0.08,0.027881643717313387,0.01738552510611254,0.04255392635389006,0.0025,0.0025,0.015
Vinicius Junior,2024-2025,51,0,0.0078125,0.08,0.024438336420196088,0.015025532123310039,0.035133651946073194,0.0,0.00125,0.00125
Serhou Guirassy,2024-2025,25,0,0.003829656862745,0.08,0.02245063894874685,0.01375210191067994,0.03129785469212409,0.0,0.0,0.0
Erling Haaland,2024-2025,18,0,0.0027573529411764,0.08,0.021997928173152933,0.014056012342907872,0.030943910588363824,0.0,0.0,0.0
Alexis Mac Allister,2024-2025,21,0,0.0032169117647058,0.08,0.020732587760198623,0.014746257020582122,0.02747013265591986,0.0,0.0,0.0
Lautaro Martinez,2024-2025,37,0,0.0056678921568627,0.08,0.020120444594627685,0.01449852117349588,0.025600257736461293,0.0,0.0,0.0
Virgil van Dijk,2024-2025,7,0,0.0010723039215686,0.08,0.017578653928569794,0.010721470262150312,0.025098299365231804,0.0,0.0,0.0
Declan Rice,2024-2025,13,0,0.0019914215686274,0.08,0.01665914506948272,0.010980997377993927,0.023298455175970657,0.0,0.0,0.0
Denzel Dumfries,2024-2025,20,0,0.003063725490196,0.08,0.014703109028682455,0.008682245954025218,0.022455226182097006,0.0,0.0,0.0
