season,n_nominees,spearman,pairwise_acc,winner,winner_pred_rank,top1_hit,top3_hit,top5_hit,model,alpha,split,temperature
2023-2024,29,0.22116806980060905,0.5945273631840796,Rodri,19.0,0.0,0.0,0.0,baseline_npxg_xag90,,val,
2024-2025,29,0.46981271562345994,0.6691542288557214,Ousmane Dembele,2.0,0.0,1.0,1.0,baseline_npxg_xag90,,test,
2023-2024,29,0.3769865971416,0.6277915632754343,Rodri,8.0,0.0,0.0,0.0,baseline_similarity,,val,
2024-2025,29,0.3293914857293541,0.6311881188118812,Ousmane Dembele,3.0,0.0,1.0,1.0,baseline_similarity,,test,
2023-2024,29,0.2981397271512,0.5955334987593052,Rodri,17.0,0.0,0.0,0.0,performance_only,0.1,val,0.12
2024-2025,29,0.3015521155816975,0.594059405940594,Ousmane Dembele,4.0,0.0,0.0,1.0,performance_only,0.1,test,0.12
2023-2024,29,0.3582604655188799,0.6178660049627791,Rodri,7.0,0.0,0.0,0.0,performance_only_all_per90_durability,100.0,val,0.08
2024-2025,29,0.4158659894623409,0.6633663366336634,Ousmane Dembele,1.0,1.0,1.0,1.0,performance_only_all_per90_durability,100.0,test,0.08
2023-2024,29,0.46273256825615994,0.6550868486352357,Rodri,8.0,0.0,0.0,0.0,performance_only_min_durability,10.0,val,0.08
2024-2025,29,0.30820400048423485,0.6237623762376238,Ousmane Dembele,1.0,1.0,1.0,1.0,performance_only_min_durability,10.0,test,0.08
2023-2024,29,0.49796726328311997,0.6674937965260546,Rodri,2.0,0.0,1.0,1.0,performance_only_logtarget,0.01,val,3.0
2024-2025,29,0.23503326655632303,0.5816831683168316,Ousmane Dembele,2.0,0.0,1.0,1.0,performance_only_logtarget,0.01,test,3.0
2023-2024,29,0.23407664528399996,0.5930521091811415,Rodri,9.0,0.0,0.0,0.0,performance_only_simple_metric_minutes,1000.0,val,0.05
2024-2025,29,0.5156442630004026,0.6757425742574258,Ousmane Dembele,3.0,0.0,1.0,1.0,performance_only_simple_metric_minutes,1000.0,test,0.05
2023-2024,29,0.59701864370856,0.7196029776674938,Rodri,1.0,1.0,1.0,1.0,with_trophies,10.0,val,0.08
2024-2025,29,0.5535846435556161,0.7153465346534653,Ousmane Dembele,1.0,1.0,1.0,1.0,with_trophies,10.0,test,0.08
2021-2022,28,0.23264453473376495,0.5925925925925926,Karim Benzema,18.0,0.0,0.0,0.0,loso_performance_only,1.0,loso,1.0
2022-2023,27,0.311372376175319,0.6160714285714286,Lionel Messi,1.0,1.0,1.0,1.0,loso_performance_only,1.0,loso,1.0
2023-2024,29,0.28113837080952003,0.5905707196029777,Rodri,11.0,0.0,0.0,0.0,loso_performance_only,1.0,loso,1.0
2024-2025,29,0.3244641635793264,0.6089108910891089,Ousmane Dembele,2.0,0.0,1.0,1.0,loso_performance_only,1.0,loso,1.0
