season,n_nominees,spearman,pairwise_acc,winner,winner_pred_rank,top1_hit,top3_hit,top5_hit,model,alpha,split,temperature
2024-2025,29,0.5730475660482257,0.7054455445544554,Ousmane Dembele,1.0,1.0,1.0,1.0,with_trophies,10.0,test,0.05
2024-2025,29,0.3131313226342626,0.6163366336633663,Ousmane Dembele,1.0,1.0,1.0,1.0,performance_only_simple_metric_minutes,1000.0,test,0.05
2024-2025,29,0.2971175256466725,0.6163366336633663,Ousmane Dembele,1.0,1.0,1.0,1.0,baseline_npxg_xag90,,test,
2024-2025,29,0.2781473353690657,0.6163366336633663,Ousmane Dembele,1.0,1.0,1.0,1.0,performance_only,1.0,test,0.12
2024-2025,29,0.2754373081865504,0.6188118811881188,Ousmane Dembele,4.0,0.0,0.0,1.0,baseline_similarity,,test,
2024-2025,29,0.2414387853513591,0.6039603960396039,Ousmane Dembele,1.0,1.0,1.0,1.0,performance_only_min_durability,10.0,test,0.08
2024-2025,29,0.1766444990784943,0.5594059405940595,Ousmane Dembele,1.0,1.0,1.0,1.0,performance_only_all_per90_durability,0.01,test,0.12
2024-2025,29,0.06233062519785086,0.5123762376237624,Ousmane Dembele,1.0,1.0,1.0,1.0,performance_only_logtarget,0.01,test,5.0
2023-2024,29,0.6773438925112798,0.7617866004962779,Rodri,4.0,0.0,0.0,1.0,with_trophies,10.0,val,0.05
2023-2024,29,0.53566592299728,0.6923076923076923,Rodri,8.0,0.0,0.0,0.0,performance_only_all_per90_durability,0.01,val,0.12
2023-2024,29,0.5240852889674399,0.684863523573201,Rodri,8.0,0.0,0.0,0.0,performance_only_min_durability,10.0,val,0.08
2023-2024,29,0.5115190690627199,0.6898263027295285,Rodri,4.0,0.0,0.0,1.0,performance_only_logtarget,0.01,val,5.0
2023-2024,29,0.5026487961887999,0.6774193548387096,Rodri,5.0,0.0,0.0,1.0,performance_only,1.0,val,0.12
2023-2024,29,0.39423434995199996,0.6228287841191067,Rodri,7.0,0.0,0.0,0.0,baseline_similarity,,val,
2023-2024,29,0.3055316212128,0.6253101736972705,Rodri,19.0,0.0,0.0,0.0,performance_only_simple_metric_minutes,1000.0,val,0.05
2023-2024,29,0.29296540130808,0.6203473945409429,Rodri,24.0,0.0,0.0,0.0,baseline_npxg_xag90,,val,
