feature,coef,abs_coef
Per 90 Minutes G+A-PK,0.05646945385165546,0.05646945385165546
Progression PrgP,0.03483338148137342,0.03483338148137342
Playing Time 90s,-0.03462246070895777,0.03462246070895777
Carries 1/3,0.02920009005213343,0.02920009005213343
Per 90 Minutes XAG,-0.026491267244490795,0.026491267244490795
SCA SCA90,-0.025056955184890903,0.025056955184890903
Pass Types TB,0.015070004323949757,0.015070004323949757
Starts Starts,0.012377464417712675,0.012377464417712675
Per 90 Minutes NpxG+xAG,0.011070113223179705,0.011070113223179705
Progression PrgC,-0.006762646603673772,0.006762646603673772
Playing Time Mn/MP,0.005255284988526602,0.005255284988526602
KP,0.00492628613547364,0.00492628613547364
