feature,importance_mean,importance_std
Playing Time 90s,7.458238876126701,1.3542573366487085
Starts Starts,5.221171950949111,1.3147287571797512
Carries 1/3,0.8643117248439416,0.296870415941354
Per 90 Minutes NpxG+xAG,0.5747089069739755,0.26567227300247176
SCA SCA90,0.3222938261557019,0.15892908432631955
Progression PrgP,0.17310712852742466,0.1336637322560893
Per 90 Minutes G+A-PK,0.13128760155502808,0.0818300424866662
Per 90 Minutes XAG,0.10627251565784969,0.05710955174883203
Progression PrgC,0.09380430190668347,0.13102655167529734
KP,0.05538800202072691,0.03041539274188063
Pass Types TB,0.038495390112515376,0.12754557176231632
Playing Time Mn/MP,-0.1316361416464228,0.048084926387520585
