model,temperature,mse
performance_only,0.12,0.001954201597051418
performance_only,0.08,0.0019637527466712097
performance_only,0.18,0.0020660125396572155
performance_only,0.25,0.0021611663746684685
performance_only,0.35,0.0022431325399583824
performance_only,0.5,0.0023103353102641635
performance_only,0.7,0.002357552843165586
performance_only,1.0,0.002394124229419963
performance_only,1.4,0.002419022627165825
performance_only,2.0,0.002437955800610093
performance_only,3.0,0.002452830272173211
performance_only,5.0,0.0024648211369938926
performance_only,0.05,0.0025990209437632794
