model,temperature,mse
performance_only_all_per90_durability,0.08,0.002412411798698941
performance_only_all_per90_durability,0.12,0.0024181471849110112
performance_only_all_per90_durability,0.18,0.002431924209877077
performance_only_all_per90_durability,0.25,0.0024430681248357217
performance_only_all_per90_durability,0.05,0.002449064104246348
performance_only_all_per90_durability,0.35,0.0024528158018855117
performance_only_all_per90_durability,0.5,0.00246099235270515
performance_only_all_per90_durability,0.7,0.0024668554568669935
performance_only_all_per90_durability,1.0,0.0024714691295176787
performance_only_all_per90_durability,1.4,0.0024746479554860544
performance_only_all_per90_durability,2.0,0.0024770861872682034
performance_only_all_per90_durability,3.0,0.002479014663974195
performance_only_all_per90_durability,5.0,0.002480577656396843
