model,temperature,mse
performance_only_min_durability,0.08,0.002075350460749265
performance_only_min_durability,0.12,0.0021151834829948365
performance_only_min_durability,0.18,0.002200728023321493
performance_only_min_durability,0.25,0.002266223950977646
performance_only_min_durability,0.05,0.0023164762635413385
performance_only_min_durability,0.35,0.0023214826557652027
performance_only_min_durability,0.5,0.002366584759199499
performance_only_min_durability,0.7,0.0023982944530874873
performance_only_min_durability,1.0,0.002422902774678275
performance_only_min_durability,1.4,0.0024396904628695873
performance_only_min_durability,2.0,0.0024524777648471754
performance_only_min_durability,3.0,0.002462538223919682
performance_only_min_durability,5.0,0.0024706581024435794
