model,temperature,mse
performance_only_simple_metric_minutes,0.05,0.00247379496625318
performance_only_simple_metric_minutes,0.08,0.0024770859148093185
performance_only_simple_metric_minutes,0.12,0.0024789896253403928
performance_only_simple_metric_minutes,0.18,0.0024802883133113475
performance_only_simple_metric_minutes,0.25,0.0024810258276232464
performance_only_simple_metric_minutes,0.35,0.0024815723416013085
performance_only_simple_metric_minutes,0.5,0.0024819848132597465
performance_only_simple_metric_minutes,0.7,0.002482261023140155
performance_only_simple_metric_minutes,1.0,0.0024824688246222067
performance_only_simple_metric_minutes,1.4,0.0024826076653038467
performance_only_simple_metric_minutes,2.0,0.0024827119565252655
performance_only_simple_metric_minutes,3.0,0.0024827931671005587
performance_only_simple_metric_minutes,5.0,0.0024828581954981148
