model,temperature,mse
with_trophies,0.08,0.001939477895712312
with_trophies,0.05,0.0019657462203307285
with_trophies,0.12,0.0020320972632163763
with_trophies,0.18,0.0021418935730823556
with_trophies,0.25,0.0022208766293297095
with_trophies,0.35,0.0022870455313547776
with_trophies,0.5,0.002341231789811342
with_trophies,0.7,0.002379536317147817
with_trophies,1.0,0.002409412213098697
with_trophies,1.4,0.002429876698914008
with_trophies,2.0,0.002445512622913819
with_trophies,3.0,0.0024578444075056814
with_trophies,5.0,0.002467817304395751
