feature,coef,abs_coef
Per 90 Minutes G+A-PK,0.02821522457551594,0.02821522457551594
UCL Winner,0.020266929893925752,0.020266929893925752
Carries 1/3,0.016000361176193228,0.016000361176193228
Playing Time Mn/MP,0.01548806985051334,0.01548806985051334
Per 90 Minutes NpxG+xAG,0.014941179503053086,0.014941179503053086
Progression PrgP,0.013912848607837562,0.013912848607837562
Major International Continental Trophy Winner,0.012678964029040014,0.012678964029040014
League Winner,0.010074013563397424,0.010074013563397424
World Cup Winner,0.00963351276292009,0.00963351276292009
Progression PrgC,-0.0071955267267919815,0.0071955267267919815
Pass Types TB,0.0068226515800392925,0.0068226515800392925
Cup Winner,0.004878364010759534,0.004878364010759534
Playing Time 90s,-0.00481459355884264,0.00481459355884264
Per 90 Minutes XAG,-0.00443798812823161,0.00443798812823161
SCA SCA90,-0.0035874347106522194,0.0035874347106522194
KP,-0.0025617664543133144,0.0025617664543133144
Starts Starts,-0.000574967823173448,0.000574967823173448
