feature,importance_mean,importance_std
Major International Continental Trophy Winner,0.8566717307210943,0.28761573228209064
UCL Winner,0.43802493832727885,0.15945502224533512
Per 90 Minutes G+A-PK,0.4076908660734551,0.16066296461883509
Progression PrgP,0.22962775362519697,0.11342568807042581
Carries 1/3,0.0989563881662629,0.09104262936838627
Per 90 Minutes NpxG+xAG,0.08750703789394762,0.08930527405529763
Per 90 Minutes XAG,0.0649222546593631,0.030068581108111458
League Winner,0.060869301634598534,0.05594637893722943
SCA SCA90,0.05382235270298841,0.029585642254827318
Progression PrgC,0.052275924220589846,0.0431545241326908
KP,0.035571887719189316,0.01982599795578806
Playing Time 90s,0.026028658641620083,0.03248480677351961
Starts Starts,0.0010975232992996675,0.0036105618274019737
World Cup Winner,0.0,0.0
Playing Time Mn/MP,-0.016611616029922623,0.11260775358162954
Pass Types TB,-0.024588438764492508,0.04233662577240805
Cup Winner,-0.05645343649086134,0.027135251238841505
