Name,Season,Finalist,Voting Points,Winner,League Winner,UCL Winner,Cup Winner,Major International Continental Trophy Winner,World Cup Winner
Thibaut Courtois,2021-2022,1,82,0,1,1,0,0,0
Rafael Leao,2021-2022,1,2,0,1,0,0,0,0
Christopher Nkunku,2021-2022,1,0,0,0,0,1,0,0
Mohamed Salah,2021-2022,1,116,0,0,0,1,0,0
Joshua Kimmich,2021-2022,1,0,0,1,0,0,0,0
Trent Alexander-Arnold,2021-2022,1,0,0,0,0,1,0,0
Vinicius Junior,2021-2022,1,61,0,1,1,0,0,0
Bernardo Silva,2021-2022,1,0,0,1,0,0,0,0
Riyad Mahrez,2021-2022,1,4,0,1,0,0,0,0
Casemiro,2021-2022,1,1,0,1,1,0,0,0
Son Heung-min,2021-2022,1,5,0,0,0,0,0,0
Fabinho,2021-2022,1,2,0,0,0,1,0,0
Karim Benzema,2021-2022,1,549,1,1,1,0,0,0
Robert Lewandowski,2021-2022,1,170,0,1,0,0,0,0
Mike Maignan,2021-2022,1,0,0,1,0,0,0,0
Harry Kane,2021-2022,1,0,0,0,0,0,0,0
Darwin Nunez,2021-2022,1,0,0,0,0,0,0,0
Phil Foden,2021-2022,1,0,0,1,0,0,0,0
Sadio Mane,2021-2022,1,193,0,0,0,1,1,0
Sebastien Haller,2021-2022,1,2,0,1,0,0,0,0
Kylian Mbappe,2021-2022,1,85,0,1,0,0,0,0
Luka Modric,2021-2022,1,20,0,1,1,0,0,0
Antonio Rudiger,2021-2022,1,0,0,0,0,0,0,0
Cristiano Ronaldo,2021-2022,1,0,0,0,0,0,0,0
Kevin De Bruyne,2021-2022,1,175,0,1,0,0,0,0
Luis Diaz,2021-2022,1,1,0,1,0,1,0,0
Dusan Vlahovic,2021-2022,1,1,0,0,0,0,0,0
Joao Cancelo,2021-2022,1,0,0,1,0,0,0,0
Erling Haaland,2021-2022,1,18,0,0,0,0,0,0
Virgil van Dijk,2021-2022,1,1,0,0,0,1,0,0
Julian Alvarez,2022-2023,1,28,0,1,1,1,0,1
Nicolo Barella,2022-2023,1,0,0,0,0,1,0,0
Jude Bellingham,2022-2023,1,5,0,0,0,0,0,0
Karim Benzema,2022-2023,1,6,0,0,0,1,0,0
Yassine Bounou,2022-2023,1,10,0,0,0,0,0,0
Kevin De Bruyne,2022-2023,1,100,0,1,1,1,0,0
Ruben Dias,2022-2023,1,0,0,1,1,1,0,0
Antoine Griezmann,2022-2023,1,4,0,0,0,0,0,0
Ilkay Gundogan,2022-2023,1,8,0,1,1,1,0,0
Josko Gvardiol,2022-2023,1,1,0,0,0,1,0,0
Erling Haaland,2022-2023,1,357,0,1,1,1,0,0
Harry Kane,2022-2023,1,4,0,0,0,0,0,0
Kim Min-jae,2022-2023,1,3,0,1,0,0,0,0
Kylian Mbappe,2022-2023,1,270,0,1,0,0,0,0
Lautaro Martinez,2022-2023,1,4,0,0,0,1,0,1
