Column,Correlation Value
Expected NpxG/Sh,0.00016166223319106032
Tackles Tkl,0.004802727614302658
Challenges Lost,0.006484672614421387
Long Att,0.007003179427728152
SCA Types PassDead,0.008203465713336109
Performance CrdY,0.009455393741437569
Performance 2CrdY,0.009587500516899076
Pass Types CK,0.010811226631203834
Long Cmp%,0.01115394372893586
Medium Cmp%,0.011466367466873656
Pass Types TI,0.01202737807980846
Challenges Att,0.013643024035277214
Blocks Pass,0.016116335809115586
Pass Types Dead,0.017631827508569967
Touches Mid 3rd,0.01765285767215283
Total TotDist,0.018629328279076183
Medium Att,0.01943034897007174
GCA Types Fld,0.02258403484627901
Total Cmp%,0.024124979226698685
Performance PKwon,0.027525860960354247
Medium Cmp,0.028464880133332926
Take-Ons Succ%,0.029585166633428903
Total PrgDist,0.030028052240832152
Standard G/SoT,0.030783174893789005
Challenges Tkl%,0.031072054375462916
Pass Types FK,0.031595492166535705
Standard G/Sh,0.032004821373925366
Team Success (xG) OnxGA,0.032151105698088794
Standard FK,0.0323412268983036
Challenges Tkl,0.032964796803872945
Corner Kicks Out,0.03466129893897842
Tkl+Int,0.03646188561763369
Pass Types Sw,0.036816359639335175
Tackles Mid 3rd,0.03713474031970527
Starts Starts,0.03784955276101289
Playing Time Starts,0.03784955276101289
Tackles TklW,0.03919021803440889
Performance TklW,0.03919021803440889
Long Cmp,0.03930480770624265
GCA Types Sh,0.03994700144274224
Short Cmp%,0.04245152439777094
Team Success OnGA,0.044637998048065654
Outcomes Cmp,0.045066585939469855
Total Cmp,0.045066585939469855
Att,0.05346974477025186
Total Att,0.05346974477025186
Corner Kicks Str,0.05369072015085964
Performance Fls,0.05414548439591396
Pass Types Live,0.05713851755869438
Starts Compl,0.05784291662302712
Team Success On-Off,0.05889782634470426
Playing Time Min,0.059785956478607176
Expected A-xAG,0.05979221091184004
90s,0.06063877762474792
Playing Time 90s,0.06063877762474792
Take-Ons Tkld%,0.06759007910788062
Standard PK,0.06759137813039705
Performance PK,0.06759137813039705
Performance OG,0.06874210845620025
Corner Kicks In,0.07027569927319571
Blocks Blocks,0.07127495491643221
Touches Live,0.07268976826953641
Touches Touches,0.07309877201562225
Performance PKatt,0.07352773328089394
Standard PKatt,0.07352773328089394
1/3,0.07486903488316374
Tackles Def 3rd,0.07812875929877326
Team Success PPM,0.07872744416385291
SCA Types Sh,0.092834140200171
CrsPA,0.09316074116400638
Aerial Duels Won%,0.09414879492016703
Pass Types Crs,0.09598334773881255
Performance Crs,0.09598334773881255
Subs Mn/Sub,0.09601424847305562
Carries Dis,0.09644878817564252
Performance PKcon,0.09653282361517658
Int,0.09755457640414875
Performance Int,0.09755457640414875
Performance Recov,0.10023446233928715
Tackles Att 3rd,0.10110199779634332
Standard Dist,0.10351438462878558
Performance Off,0.10785722026083809
GCA Types Def,0.10949207995352317
Carries Mis,0.1107394701449943
Short Cmp,0.11280866622756436
PrgP,0.11286740338849005
Progression PrgP,0.11286740338849005
Performance CrdR,0.11865903053553387
Carries Carries,0.1204696002505842
GCA Types PassDead,0.12079292753239035
Standard SoT%,0.12129638845884493
Performance Fld,0.12184202934917827
Per 90 Minutes Gls,0.12221483801026847
Short Att,0.12287268123018528
GCA GCA90,0.12446550213980354
Per 90 Minutes XG,0.12865800462716112
GCA GCA,0.12889465427249278
Receiving Rec,0.1289852621403007
Playing Time Min%,0.129568578417597
Playing Time MP,0.13331504521329673
Touches Def 3rd,0.13413097437641822
Expected Np:G-xG,0.140112650054768
Expected G-xG,0.14166720500180993
GCA Types PassLive,0.14233586577620103
Per 90 Minutes G-PK,0.14295860727819548
Per 90 Minutes NpxG,0.14345790288273735
SCA Types Def,0.14996263470900306
Expected XG,0.15284445500158683
Team Success +/-90,0.15362320536857446
Touches Def Pen,0.15516083275465178
Outcomes Off,0.15698823251381305
Team Success (xG) XG+/-,0.15972579182203192
Expected NpxG,0.16085470615582356
GCA Types TO,0.16155668072770918
SCA Types Fld,0.1650216601973797
Team Success (xG) OnxG,0.16528200417479352
Team Success (xG) XG+/-90,0.16620512949948343
Subs UnSub,0.168201239030383
Subs Subs,0.17078937724120438
Carries TotDist,0.17835036205278298
Clr,0.17992345484438602
Standard Gls,0.1823985676261848
Performance Gls,0.1823985676261848
Starts Mn/Start,0.1828341332645396
Performance Ast,0.18306750941294908
Ast,0.18306750941294908
SCA Types PassLive,0.18454668062746857
Carries PrgDist,0.18545201120757263
KP,0.1860104766272574
Per 90 Minutes G+A,0.18784568522781156
Team Success OnG,0.19149574792393817
Standard Sh/90,0.19538146627628963
Blocks Sh,0.19603125547166686
Standard SoT/90,0.19828122389230776
Performance G-PK,0.19903048322562
SCA SCA,0.20456383483837481
Per 90 Minutes XG+xAG,0.20663127942286583
Expected XA,0.20770582720239525
Per 90 Minutes G+A-PK,0.20851639808253347
Per 90 Minutes Ast,0.21315239197342004
Touches Att Pen,0.21404584812438399
Playing Time Mn/MP,0.21759730885354733
Expected NpxG+xAG,0.220734036401737
Performance G+A,0.2242395905654666
Expected XAG,0.22486343034286727
XAG,0.22486343034286727
Team Success +/-,0.22515862249187796
Per 90 Minutes NpxG+xAG,0.22699393544769056
SCA SCA90,0.22867285716059688
Receiving PrgR,0.2295190650096873
Progression PrgR,0.2295190650096873
Team Success (xG) On-Off,0.23036065083443835
Aerial Duels Won,0.23086609297211333
Pass Types TB,0.24263210289724338
Standard Sh,0.2507238950020077
Err,0.2557669177257555
PPA,0.2560345526637698
Per 90 Minutes XAG,0.2625478934856983
SCA Types TO,0.26351014309650445
Outcomes Blocks,0.2664657164763891
Standard SoT,0.2704077546213173
Progression PrgC,0.2731708407904784
Carries PrgC,0.2731708407904784
Carries CPA,0.27466433672297424
Take-Ons Tkld,0.27674060500904224
Aerial Duels Lost,0.2784642964372203
Take-Ons Succ,0.28598054840094983
Touches Att 3rd,0.2920302089866364
Carries 1/3,0.29363568511768057
Take-Ons Att,0.29419076542559414
